City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Ponta Do Sol,PT,2022-07-20 02:19:25,32.6667,-17.1,70.43,78,21,7.09
96,Aksu,CN,2022-07-20 02:24:14,41.1231,80.2644,78.67,29,0,5.37
97,Mahebourg,MU,2022-07-20 02:22:51,-20.4081,57.7,70.09,60,40,20.71
98,Atuona,PF,2022-07-20 02:24:15,-9.8,-139.0333,77.68,72,36,11.83
99,Sioux Lookout,CA,2022-07-20 02:24:15,50.1001,-91.917,66.04,95,96,10.02
100,Bathsheba,BB,2022-07-20 02:22:52,13.2167,-59.5167,81.21,94,40,11.5
101,Port Elizabeth,ZA,2022-07-20 02:24:16,-33.918,25.5701,53.31,99,100,5.99
102,Nome,US,2022-07-20 02:24:02,64.5011,-165.4064,46.17,74,100,8.39
103,Kashi,CN,2022-07-20 02:24:17,39.4547,75.9797,74.41,35,0,6.71
104,Avera,US,2022-07-20 02:24:17,33.194,-82.5271,76.51,86,63,5.46
105,Ambulu,ID,2022-07-20 02:24:18,-8.345,113.6058,79.79,66,5,2.71
106,Caravelas,BR,2022-07-20 02:24:19,-17.7125,-39.2481,70.12,89,5,4.68
107,Alofi,NU,2022-07-20 02:20:32,-19.0595,-169.9187,80.49,65,75,21.85
108,Zhezkazgan,KZ,2022-07-20 02:24:20,47.8043,67.7144,73.38,27,20,6.71
109,Mokolo,CM,2022-07-20 02:24:20,10.7398,13.8019,71.47,81,100,4.52
110,Khatanga,RU,2022-07-20 02:24:21,71.9667,102.5,48.87,49,65,18.9
111,Gua Musang,MY,2022-07-20 02:24:21,4.8823,101.9644,82.65,73,97,1.34
112,Pipar,IN,2022-07-20 02:24:21,26.3856,73.5378,81.95,82,100,12.46
113,Yokadouma,CM,2022-07-20 02:24:22,3.5167,15.05,67.08,99,100,1.83
114,Qinhuangdao,CN,2022-07-20 02:24:23,39.9317,119.5883,80.8,69,100,13.62
115,Shilong,CN,2022-07-20 02:24:23,23.1123,113.8425,89.4,63,73,6.89
116,Talnakh,RU,2022-07-20 02:24:24,69.4865,88.3972,56.21,46,100,3.22
117,Yellowknife,CA,2022-07-20 02:24:24,62.456,-114.3525,70.32,56,75,13.8
118,Bejar,ES,2022-07-20 02:24:25,40.3864,-5.7634,60.33,63,0,7.23
119,Aklavik,CA,2022-07-20 02:21:38,68.2191,-135.0107,66.69,52,100,10.25
120,Tamandare,BR,2022-07-20 02:24:26,-8.7597,-35.1047,73.69,82,3,8.32
121,Berdyaush,RU,2022-07-20 02:24:27,55.1619,59.1464,57.79,91,73,9.62
122,Iqaluit,CA,2022-07-20 02:24:27,63.7506,-68.5145,40.73,93,100,3.44
123,Hobart,AU,2022-07-20 02:22:45,-42.8794,147.3294,49.26,69,20,6.91
124,Mataura,NZ,2022-07-20 02:24:28,-46.1927,168.8643,45.84,72,94,3.65
125,Capitan Bado,PY,2022-07-20 02:24:29,-23.2667,-55.5333,69.62,70,96,9.64
126,Fort Frances,CA,2022-07-20 02:24:29,48.5999,-93.4003,64.62,67,0,0.0
127,Sabzevar,IR,2022-07-20 02:24:30,36.2126,57.6819,80.33,19,0,15.3
128,Husavik,IS,2022-07-20 02:24:30,66.0449,-17.3389,46.51,96,100,7.96
129,Necochea,AR,2022-07-20 02:24:31,-38.5473,-58.7368,48.81,43,0,17.05
130,Kawalu,ID,2022-07-20 02:24:31,-7.3817,108.2082,79.41,72,82,2.39
131,Bintulu,MY,2022-07-20 02:24:32,3.1667,113.0333,88.21,74,20,2.3
132,Mar Del Plata,AR,2022-07-20 02:24:32,-38.0023,-57.5575,48.09,74,7,18.99
133,East London,ZA,2022-07-20 02:24:33,-33.0153,27.9116,63.36,85,95,18.25
134,Naica,MX,2022-07-20 02:24:33,27.85,-105.4833,94.23,14,61,5.84
135,Bidor,MY,2022-07-20 02:24:34,4.1139,101.2884,82.92,73,79,3.06
136,Digri,PK,2022-07-20 02:25:35,25.1558,69.1113,83.62,80,66,16.31
137,Esperance,AU,2022-07-20 02:25:35,-33.8667,121.9,58.64,73,100,14.56
138,Wewak,PG,2022-07-20 02:25:36,-3.5534,143.6268,82.78,73,40,4.83
139,Sao Joao Da Barra,BR,2022-07-20 02:22:53,-21.6403,-41.0511,70.14,92,77,9.42
140,Mount Gambier,AU,2022-07-20 02:23:31,-37.8333,140.7667,51.37,53,0,2.37
141,Kaitangata,NZ,2022-07-20 02:21:00,-46.2817,169.8464,44.8,78,100,5.97
142,Homer,US,2022-07-20 02:25:37,59.6425,-151.5483,53.47,95,100,8.05
143,Airai,TL,2022-07-20 02:25:33,-8.9266,125.4092,69.04,47,84,2.62
144,Havelock,US,2022-07-20 02:25:38,34.8791,-76.9013,80.94,82,19,4.0
145,Beloha,MG,2022-07-20 02:25:39,-25.1667,45.05,61.09,69,0,8.63
146,Saint-Joseph,RE,2022-07-20 02:25:39,-21.3667,55.6167,70.21,72,24,19.24
147,Namatanai,PG,2022-07-20 02:25:40,-3.6667,152.4333,83.64,68,100,5.1
148,Puerto Ayora,EC,2022-07-20 02:25:40,-0.7393,-90.3518,69.93,84,36,9.4
149,Semnan,IR,2022-07-20 02:25:41,35.5729,53.3971,85.84,17,0,2.3
150,Lagoa,PT,2022-07-20 02:25:42,39.05,-27.9833,71.06,87,0,9.01
151,Pisco,PE,2022-07-20 02:25:42,-13.7,-76.2167,60.85,82,100,4.61
152,Amapa,BR,2022-07-20 02:25:43,1.0,-52.0,71.8,99,100,1.95
153,Kerrville,US,2022-07-20 02:25:43,30.0474,-99.1403,91.62,38,0,4.61
154,Victor Harbor,AU,2022-07-20 02:25:44,-35.5667,138.6167,51.01,75,5,7.49
155,Eyrarbakki,IS,2022-07-20 02:25:45,63.863,-21.1481,51.85,81,88,9.24
156,Aquiraz,BR,2022-07-20 02:25:45,-3.9014,-38.3911,78.89,86,17,11.92
157,Kundiawa,PG,2022-07-20 02:25:46,-6.0167,144.9667,70.79,86,100,2.39
158,Watertown,US,2022-07-20 02:23:56,42.3709,-71.1828,83.91,64,0,8.01
159,Namibe,AO,2022-07-20 02:25:47,-15.1961,12.1522,61.3,87,0,6.82
160,Sobolevo,RU,2022-07-20 02:25:47,54.4299,31.8996,53.51,96,37,9.01
161,Millbrook,US,2022-07-20 02:25:47,32.4799,-86.3619,83.35,83,40,5.75
162,Tual,ID,2022-07-20 02:25:48,-5.6667,132.75,79.77,81,35,19.48
163,San Patricio,US,2022-07-20 02:20:51,28.017,-97.5169,86.9,72,0,19.1
164,Lunca,RO,2022-07-20 02:25:49,43.8333,24.7667,64.04,37,0,1.41
165,Zyryanka,RU,2022-07-20 02:25:49,65.75,150.85,44.31,64,100,13.96
166,Bilma,NE,2022-07-20 02:25:49,18.6853,12.9164,88.47,25,5,5.91
167,Qui Nhon,VN,2022-07-20 02:25:19,13.7667,109.2333,81.0,79,100,3.49
168,Ryotsu,JP,2022-07-20 02:25:50,38.0833,138.4333,78.22,77,100,9.04
169,Gladstone,AU,2022-07-20 02:25:51,-23.85,151.25,73.78,56,75,11.5
170,Torbay,CA,2022-07-20 02:25:52,47.6666,-52.7314,63.28,95,100,24.16
171,Bayji,IQ,2022-07-20 02:25:52,34.9311,43.487,90.61,13,0,11.39
172,Malartic,CA,2022-07-20 02:24:26,48.1335,-78.1328,64.51,92,100,4.23
173,Jamestown,US,2022-07-20 02:25:53,42.097,-79.2353,76.59,77,20,11.5
174,Qaanaaq,GL,2022-07-20 02:25:53,77.484,-69.3632,41.47,74,17,3.18
175,Chokurdakh,RU,2022-07-20 02:22:56,70.6333,147.9167,48.9,58,100,7.36
176,Cabo Rojo,PR,2022-07-20 02:25:54,18.0866,-67.1457,81.73,86,2,10.6
177,Sozimskiy,RU,2022-07-20 02:25:54,59.7418,52.2482,54.19,96,100,8.57
178,La Libertad,EC,2022-07-20 02:25:55,-2.2333,-80.9,67.66,88,100,8.05
179,Maua,BR,2022-07-20 02:25:56,-23.6678,-46.4614,63.36,91,100,6.82
180,Suoyarvi,RU,2022-07-20 02:25:34,62.0833,32.35,53.15,84,96,10.71
181,Harper,LR,2022-07-20 02:25:56,4.375,-7.7169,73.81,72,93,7.58
182,Catabola,AO,2022-07-20 02:26:57,-12.15,17.2833,53.1,47,2,3.22
183,Baran,IN,2022-07-20 02:26:57,25.1,76.5167,82.27,78,35,11.72
184,Komsomolskiy,UZ,2022-07-20 02:26:58,40.4272,71.7189,83.12,24,0,4.61
185,Bahir Dar,ET,2022-07-20 02:26:58,11.5936,37.3908,60.85,94,100,3.18
186,Harer,ET,2022-07-20 02:26:59,9.3094,42.1258,56.89,86,100,6.26
187,Linxia,CN,2022-07-20 02:27:00,35.6003,103.2064,67.24,52,0,0.4
188,Leningradskiy,RU,2022-07-20 02:27:00,69.3833,178.4167,34.57,97,100,21.79
189,Minusinsk,RU,2022-07-20 02:27:01,53.7103,91.6875,64.42,70,98,5.26
190,Vostok,RU,2022-07-20 02:27:01,46.4856,135.8833,70.05,84,96,1.86
191,Sinnamary,GF,2022-07-20 02:27:02,5.3833,-52.95,77.02,85,51,9.1
192,Revda,RU,2022-07-20 02:27:02,56.801,59.9303,57.31,94,86,10.85
193,Vysokogornyy,RU,2022-07-20 02:27:03,50.1167,139.15,62.44,82,99,3.11
194,Verkhniy Avzyan,RU,2022-07-20 02:27:03,53.5289,57.5372,57.15,93,56,3.22
195,Bandarbeyla,SO,2022-07-20 02:27:04,9.4942,50.8122,77.49,64,85,31.03
196,Mudgee,AU,2022-07-20 02:27:04,-32.5943,149.5871,54.79,52,17,13.31
197,San Cristobal,VE,2022-07-20 02:27:05,7.7669,-72.225,69.98,97,100,3.27
198,Filadelfia,US,2022-07-20 02:27:03,39.9523,-75.1638,84.45,69,0,9.22
199,Nalut,LY,2022-07-20 02:27:06,30.3333,10.85,77.79,26,0,10.83
200,Ternate,ID,2022-07-20 02:27:06,0.8,127.4,83.1,73,88,2.98
201,Katsuura,JP,2022-07-20 02:27:07,35.1333,140.3,82.26,81,99,6.17
202,Touros,BR,2022-07-20 02:27:08,-5.1989,-35.4608,72.91,87,2,13.47
203,The Valley,AI,2022-07-20 02:27:08,18.217,-63.0578,82.26,78,0,20.85
204,El Angel,EC,2022-07-20 02:27:09,0.6167,-77.9333,41.14,86,96,7.2
205,Izhma,RU,2022-07-20 02:27:09,65.0083,53.9113,67.82,59,57,9.84
206,Buraydah,SA,2022-07-20 02:27:10,26.326,43.975,82.85,14,1,6.44
207,Sarangani,PH,2022-07-20 02:27:11,5.4033,125.4636,82.58,72,78,2.01
208,Kodiak,US,2022-07-20 02:27:12,57.79,-152.4072,56.71,72,100,5.75
209,Bahia Honda,CU,2022-07-20 02:27:12,22.9036,-83.1592,80.29,85,0,10.22
210,Erenhot,CN,2022-07-20 02:27:13,43.6475,111.9767,81.5,30,21,5.12
211,Elliot,ZA,2022-07-20 02:27:13,-31.3333,27.85,46.6,55,11,6.46
212,Hovd,MN,2022-07-20 02:27:14,48.0056,91.6419,59.25,53,11,3.51
213,Ruteng,ID,2022-07-20 02:27:14,-8.6136,120.4721,70.41,55,23,1.77
214,Yerbogachen,RU,2022-07-20 02:27:15,61.2767,108.0108,71.47,55,71,5.17
215,Bjaeverskov,DK,2022-07-20 02:27:16,55.4576,12.0365,63.01,61,1,7.76
216,Kahului,US,2022-07-20 02:27:16,20.8947,-156.47,84.22,54,40,26.46
217,At-Bashi,KG,2022-07-20 02:27:17,41.1702,75.8106,60.26,48,0,1.95
218,Takoradi,GH,2022-07-20 02:27:17,4.8845,-1.7554,72.59,77,14,6.29
219,Korla,CN,2022-07-20 02:27:18,41.7597,86.1469,77.92,33,99,15.75
220,Havre-Saint-Pierre,CA,2022-07-20 02:27:18,50.2334,-63.5986,62.96,94,100,10.36
221,Geraldton,AU,2022-07-20 02:27:13,-28.7667,114.6,63.01,67,89,13.8
222,Tiznit,MA,2022-07-20 02:22:58,29.5833,-9.5,85.19,29,52,1.95
223,Thompson,CA,2022-07-20 02:22:52,55.7435,-97.8558,75.36,53,75,5.75
224,Provideniya,RU,2022-07-20 02:27:20,64.3833,-173.3,51.91,71,0,13.42
225,Kalabo,ZM,2022-07-20 02:27:20,-14.97,22.6814,51.53,52,4,6.58
226,Aktau,KZ,2022-07-20 02:27:21,43.65,51.2,81.18,45,9,23.73
227,Pundaguitan,PH,2022-07-20 02:22:36,6.3711,126.1689,82.49,75,56,2.46
228,Tiksi,RU,2022-07-20 02:27:17,71.6872,128.8694,34.92,96,100,14.41
229,Maxixe,MZ,2022-07-20 02:28:22,-23.8597,35.3472,66.24,89,0,4.59
230,La Asuncion,VE,2022-07-20 02:28:23,11.0333,-63.8628,78.53,94,84,10.36
231,Selma,US,2022-07-20 02:28:23,36.5708,-119.6121,104.34,12,0,10.36
232,Acapetahua,MX,2022-07-20 02:28:24,15.2833,-92.7,77.18,92,100,3.71
233,Westport,US,2022-07-20 02:28:24,41.1415,-73.3579,84.74,81,0,4.61
234,Ratnagiri,IN,2022-07-20 02:28:25,16.9833,73.3,79.38,86,99,10.94
235,Kununurra,AU,2022-07-20 02:28:25,-15.7667,128.7333,85.98,28,9,12.66
236,Bukoba,TZ,2022-07-20 02:28:26,-1.3317,31.8122,71.53,63,66,13.0
237,Chicama,PE,2022-07-20 02:28:26,-7.8447,-79.1469,59.54,85,62,6.15
238,Zaysan,KZ,2022-07-20 02:28:27,47.4667,84.8667,68.49,38,12,14.83
239,Laurel,US,2022-07-20 02:28:28,39.0993,-76.8483,82.38,83,0,0.0
240,Sisimiut,GL,2022-07-20 02:25:24,66.9395,-53.6735,44.24,88,83,2.86
241,Merauke,ID,2022-07-20 02:28:28,-8.4667,140.3333,78.64,83,100,14.94
242,Marsh Harbour,BS,2022-07-20 02:28:29,26.5412,-77.0636,81.77,78,2,10.16
243,Anadyr,RU,2022-07-20 02:28:29,64.75,177.4833,44.49,93,100,15.88
244,Petropavlovsk-Kamchatskiy,RU,2022-07-20 02:28:30,53.0452,158.6483,60.78,82,60,7.81
245,Santa Catalina,PH,2022-07-20 02:28:30,9.3337,122.8637,84.16,74,21,1.74
246,Vallenar,CL,2022-07-20 02:25:00,-28.5708,-70.7581,64.04,42,5,2.04
247,Klatovy,CZ,2022-07-20 02:28:31,49.3955,13.2951,68.27,67,90,4.43
248,College,US,2022-07-20 02:28:31,64.8569,-147.8028,55.35,89,100,5.75
249,Fernley,US,2022-07-20 02:28:32,39.608,-119.2518,93.56,22,89,4.0
250,Sola,VU,2022-07-20 02:28:32,-13.8833,167.55,80.83,77,22,17.76
251,Chumikan,RU,2022-07-20 02:28:33,54.7183,135.315,52.11,100,100,7.65
252,Iisaku,EE,2022-07-20 02:28:34,59.1014,27.3081,56.16,77,100,12.8
253,Nautla,MX,2022-07-20 02:28:34,20.2167,-96.7833,83.39,78,8,20.85
254,Kunda,IN,2022-07-20 02:28:35,25.7167,81.5167,85.21,71,58,5.37
255,Bentiu,SS,2022-07-20 02:28:35,9.2333,29.8333,69.49,95,84,2.42
256,Magistralnyy,RU,2022-07-20 02:28:36,56.1725,107.4458,57.31,95,100,5.03
257,Warrington,GB,2022-07-20 02:24:52,53.3925,-2.5802,70.86,84,5,9.22
