City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Tromso,NO,69.6496,18.957,57.38,76,0,5.75,clear sky
172,Pangnirtung,CA,66.1451,-65.7125,49.15,76,91,3.11,overcast clouds
173,San Borja,BO,-14.8167,-66.85,74.21,81,99,2.13,overcast clouds
174,Yelizovo,RU,53.1873,158.3805,59.14,82,75,11.01,broken clouds
175,Christchurch,NZ,-43.5333,172.6333,44.8,93,100,4.61,light rain
176,Ahipara,NZ,-35.1667,173.1667,62.69,90,86,16.06,overcast clouds
177,Novaya Igirma,RU,57.1334,103.9112,76.91,47,97,5.28,overcast clouds
178,Namibe,AO,-15.1961,12.1522,61.9,89,0,3.27,clear sky
179,Bam,IR,29.106,58.357,102.63,15,96,11.77,overcast clouds
180,Sao Felix Do Xingu,BR,-6.6447,-51.995,69.51,59,5,0.85,clear sky
181,Pochutla,MX,15.7432,-96.4661,74.82,91,92,4.14,overcast clouds
182,Carnarvon,AU,-24.8667,113.6333,68.95,30,0,9.19,clear sky
183,Rio Brilhante,BR,-21.8019,-54.5464,67.44,45,75,5.84,broken clouds
184,Hamilton,US,39.1834,-84.5333,79.0,91,20,8.05,few clouds
185,Zalantun,CN,48.0,122.7167,78.44,65,79,8.37,broken clouds
186,Vestmannaeyjar,IS,63.4427,-20.2734,51.94,83,95,8.12,overcast clouds
187,Guerrero Negro,MX,27.9769,-114.0611,68.18,83,14,7.85,few clouds
188,Grindavik,IS,63.8424,-22.4338,48.67,100,75,9.22,light intensity drizzle
189,San Cristobal,VE,7.7669,-72.225,64.56,93,68,2.01,broken clouds
190,Amazar,RU,53.858,120.875,79.25,50,37,5.66,scattered clouds
191,Kavieng,PG,-2.5744,150.7967,83.61,74,13,7.4,light rain
192,Kruisfontein,ZA,-34.0033,24.7314,47.88,80,57,4.88,broken clouds
193,Vao,NC,-22.6667,167.4833,71.46,75,36,13.4,scattered clouds
194,Tucumcari,US,35.1717,-103.725,84.94,34,0,9.22,clear sky
195,Teguldet,RU,57.3064,88.1667,64.15,58,94,9.37,light rain
196,Raudeberg,NO,61.9875,5.1352,58.96,85,98,11.43,light rain
197,Atuona,PF,-9.8,-139.0333,76.82,68,2,15.75,clear sky
198,Beloha,MG,-25.1667,45.05,70.57,60,0,4.03,clear sky
199,Ouallam,NE,14.3188,2.0866,81.63,64,61,10.96,broken clouds
200,Kandrian,PG,-6.2167,149.55,82.76,77,33,12.1,light rain
201,Roald,NO,62.5833,6.1333,66.16,82,75,8.05,broken clouds
202,Svetlogorsk,BY,52.6333,29.7333,61.18,90,35,10.27,scattered clouds
203,Longyearbyen,SJ,78.2186,15.6401,46.24,93,75,3.44,broken clouds
204,Lamphun,TH,18.25,98.9167,91.15,63,12,2.55,few clouds
205,Schneverdingen,DE,53.1167,9.8,74.08,53,100,8.16,overcast clouds
206,Lebane,RS,42.9239,21.7375,70.39,73,4,2.1,clear sky
207,Pareora,NZ,-44.4871,171.2132,44.19,89,100,3.2,overcast clouds
